
02/01	INDUSINDBK	            EQ	       1795.45	       1753.10	          2.42
02/01	NaN	 Top Five Nifty 50 Losers:	                       NaN	                       NaN	                       NaN	                       NaN
02/01	SYMBOL	      SERIES	 CLOSE PRICE	  PREV.CLOSE	     %CHANGE
02/01	SUNPHARMA	            EQ	        554.30	        579.90	         -4.41
02/01	ONGC	            EQ	        194.90	        203.45	          -4.2

02/02	ITC	            EQ	        275.35	        275.30	           .02
02/02	NaN	 Top Five Nifty 50 Losers:	                       NaN	                       NaN	                       NaN	                       NaN
02/02	SYMBOL	      SERIES	 CLOSE PRICE	  PREV.CLOSE	     %CHANGE
02/02	BAJFINANCE	            EQ	       1628.90	       1729.45	         -5.81
02/02	BAJAJ-AUTO	            EQ	       3241.30	       3412.95	         -5.03

02/05	BHARTIARTL	            EQ	        440.20	        422.35	          4.23
02/05	TATAMOTORS	            EQ	        395.80	        383.75	          3.14
02/05	HINDPETRO	            EQ	        383.85	        374.50	           2.5
02/05	BOSCHLTD	            EQ	      19951.55	      19474.40	          2.45
02/05	POWERGRID	            EQ	        196.50	        192.90	          1.87

02/06	BAJFINANCE	            EQ	       1662.15	       1604.95	          3.56
02/06	ICICIBANK	            EQ	        330.70	        329.70	            .3
02/06	IBULHSGFIN	            EQ	       1294.95	       1292.45	           .19
02/06	EICHERMOT	            EQ	      27579.25	      27537.95	           .15
02/06	TATASTEEL	            EQ	        664.50	        664.05	           .07

02/07	HINDPETRO	            EQ	        396.35	        377.60	          4.97
02/07	AUROPHARMA	            EQ	        616.10	        596.85	          3.23
02/07	COALINDIA	            EQ	        297.60	        290.35	           2.5
02/07	ONGC	            EQ	        190.00	        185.45	          2.45
02/07	BPCL	            EQ	        476.25	        467.20	          1.94

02/08	CIPLA	            EQ	        612.65	        569.25	          7.62
02/08	SUNPHARMA	            EQ	        584.10	        549.50	           6.3
02/08	AMBUJACEM	            EQ	        261.90	        248.30	          5.48
02/08	DRREDDY	            EQ	       2180.45	       2111.40	          3.27
02/08	IBULHSGFIN	            EQ	       1314.40	       1274.10	          3.16

02/09	HCLTECH	            EQ	        964.00	        944.35	          2.08
02/09	TATASTEEL	            EQ	        685.30	        671.45	          2.06
02/09	CIPLA	            EQ	        621.40	        612.65	          1.43
02/09	LUPIN	            EQ	        822.15	        812.45	          1.19
02/09	DRREDDY	            EQ	       2193.80	       2180.45	           .61

02/12	TATASTEEL	            EQ	        713.10	        685.30	          4.06
02/12	YESBANK	            EQ	        335.40	        325.55	          3.03
02/12	AUROPHARMA	            EQ	        607.30	        589.50	          3.02
02/12	POWERGRID	            EQ	        198.50	        193.20	          2.74
02/12	UPL	            EQ	        726.50	        708.35	          2.56

02/14	TECHM	            EQ	        611.50	        590.35	          3.58
02/14	IBULHSGFIN	            EQ	       1348.20	       1314.85	          2.54
02/14	BHARTIARTL	            EQ	        434.80	        424.40	          2.45
02/14	ADANIPORTS	            EQ	        413.00	        403.35	          2.39
02/14	COALINDIA	            EQ	        306.95	        300.65	           2.1

02/15	HINDALCO	            EQ	        251.50	        243.25	          3.39
02/15	BPCL	            EQ	        475.05	        460.10	          3.25
02/15	ICICIBANK	            EQ	        328.65	        318.95	          3.04
02/15	VEDL	            EQ	        324.40	        315.75	          2.74
02/15	HINDPETRO	            EQ	        390.90	        382.65	          2.16

02/16	AMBUJACEM	            EQ	        257.05	        253.40	          1.44
02/16	INFY	            EQ	       1128.05	       1114.45	          1.22
02/16	CIPLA	            EQ	        611.10	        605.85	           .87
02/16	DRREDDY	            EQ	       2213.55	       2195.80	           .81
02/16	KOTAKBANK	            EQ	       1050.20	       1042.15	           .77

02/19	INFRATEL	            EQ	        329.85	        327.55	            .7
02/19	COALINDIA	            EQ	        305.40	        303.50	           .63
02/19	RELIANCE	            EQ	        927.00	        921.30	           .62
02/19	KOTAKBANK	            EQ	       1056.20	       1050.20	           .57
02/19	AXISBANK	            EQ	        540.55	        537.85	            .5

02/20	VEDL	            EQ	        328.70	        320.35	          2.61
02/20	AMBUJACEM	            EQ	        263.70	        257.55	          2.39
