
01/01	NaN	      Nifty 50	      10530.70	      10531.70	      10537.85	      10423.10	      10435.55	        -95.15
01/02	NaN	      Nifty 50	      10435.55	      10477.55	      10495.20	      10404.65	      10442.20	          6.65
01/03	NaN	      Nifty 50	      10442.20	      10482.65	      10503.60	      10429.55	      10443.20	             1
01/04	NaN	      Nifty 50	      10443.20	      10469.40	      10513.00	      10441.45	      10504.80	          61.6
01/05	NaN	      Nifty 50	      10504.80	      10534.25	      10566.10	      10520.10	      10558.85	         54.05
01/08	NaN	      Nifty 50	      10558.85	      10591.70	      10631.20	      10588.55	      10623.60	         64.75
01/09	NaN	      Nifty 50	      10623.60	      10645.10	      10659.15	      10603.60	      10637.00	          13.4
01/10	NaN	      Nifty 50	      10637.00	      10652.05	      10655.50	      10592.70	      10632.20	          -4.8
01/11	NaN	      Nifty 50	      10632.20	      10637.05	      10664.60	      10612.35	      10651.20	            19
01/12	NaN	      Nifty 50	      10651.20	      10682.55	      10690.40	      10597.10	      10681.25	         30.05
01/15	NaN	      Nifty 50	      10681.25	      10718.50	      10782.65	      10713.80	      10741.55	          60.3
01/16	NaN	      Nifty 50	      10741.55	      10761.50	      10762.35	      10687.85	      10700.45	         -41.1
01/17	NaN	      Nifty 50	      10700.45	      10702.45	      10803.00	      10666.75	      10788.55	          88.1
01/18	NaN	      Nifty 50	      10788.55	      10873.40	      10887.50	      10782.40	      10817.00	         28.45
01/19	NaN	      Nifty 50	      10817.00	      10829.20	      10906.85	      10793.90	      10894.70	          77.7
01/22	NaN	      Nifty 50	      10894.70	      10883.20	      10975.10	      10881.40	      10966.20	          71.5
01/23	NaN	      Nifty 50	      10966.20	      10997.40	      11092.90	      10994.55	      11083.70	         117.5
01/24	NaN	      Nifty 50	      11083.70	      11069.35	      11110.10	      11046.15	      11086.00	           2.3
01/25	NaN	      Nifty 50	      11086.00	      11095.60	      11095.60	      11009.20	      11069.65	        -16.35
01/29	NaN	      Nifty 50	      11069.65	      11079.35	      11171.55	      11075.95	      11130.40	         60.75
01/30	NaN	      Nifty 50	      11130.40	      11120.85	      11121.10	      11033.90	      11049.65	        -80.75
01/31	NaN	      Nifty 50	      11049.65	      11018.80	      11058.50	      10979.30	      11027.70	        -21.95
02/01	NaN	      Nifty 50	      11027.70	      11044.55	      11117.35	      10878.80	      11016.90	         -10.8
02/02	NaN	      Nifty 50	      11016.90	      10938.20	      10954.95	      10736.10	      10760.60	        -256.3
02/05	NaN	      Nifty 50	      10760.60	      10604.30	      10702.75	      10586.80	      10666.55	        -94.05
02/06	NaN	      Nifty 50	      10666.55	      10295.15	      10594.15	      10276.30	      10498.25	        -168.3
